ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_mv,circ_mv
000538.SZ,20230316,54.22,0.3632,0.9415,34.75,36.6541,2.5755,2.6785,2.7894,9742588.7407,9133872.355
000538.SZ,20230315,54.02,0.3397,0.8806,34.6218,36.5189,2.566,2.6686,2.7791,9706651.4897,9100180.4614
000538.SZ,20230314,53.62,0.3425,0.8878,34.3655,36.2484,2.547,2.6488,2.7585,9634776.9877,9032796.6742
000538.SZ,20230313,54.3,0.2411,0.625,34.8013,36.7081,2.5793,2.6824,2.7935,9756963.6411,9147349.1124
000538.SZ,20230310,53.95,0.3036,0.787,34.577,36.4715,2.5627,2.6651,2.7755,9694073.4519,9088388.2986
000538.SZ,20230309,54.54,0.2551,0.6613,34.9551,36.8704,2.5908,2.6943,2.8059,9800088.3422,9187779.3847
000538.SZ,20230308,54.42,0.4445,1.1521,34.8782,36.7893,2.5851,2.6883,2.7997,9778525.9917,9167564.2486
000538.SZ,20230307,54.72,1.3723,3.5571,35.0705,36.9921,2.5993,2.7032,2.8151,9832431.8681,9218102.089
000538.SZ,20230306,57.77,0.4929,1.2775,37.0252,39.0539,2.7442,2.8538,2.972,10380474.9456,9731903.4664
000538.SZ,20230303,57.32,0.2389,0.6193,36.7368,38.7497,2.7228,2.8316,2.9489,10299616.1309,9656096.7058
000538.SZ,20230302,57.17,0.2355,0.6103,36.6407,38.6483,2.7157,2.8242,2.9412,10272663.1926,9630827.7856
000538.SZ,20230301,57.48,0.3689,0.9563,36.8394,38.8579,2.7304,2.8395,2.9571,10328365.9317,9683050.2206
000538.SZ,20230228,56.9,0.3977,1.0308,36.4676,38.4658,2.7029,2.8108,2.9273,10224147.9038,9585343.7292
000538.SZ,20230227,56.5,0.2795,0.7245,36.2113,38.1954,2.6839,2.7911,2.9067,10152273.4019,9517959.942
000538.SZ,20230224,57.05,0.3311,0.8582,36.5638,38.5672,2.71,2.8183,2.935,10251100.842,9610612.6494
000538.SZ,20230223,57.42,0.4378,1.1348,36.8009,38.8173,2.7276,2.8365,2.954,10317584.7564,9672942.6526
000538.SZ,20230222,57.78,0.3612,0.9363,37.0316,39.0607,2.7447,2.8543,2.9726,10382271.8081,9733588.061
000538.SZ,20230221,57.8,0.3989,1.0341,37.0445,39.0742,2.7456,2.8553,2.9736,10385865.5332,9736957.2504
000538.SZ,20230220,57.5,0.5566,1.4426,36.8522,38.8714,2.7314,2.8405,2.9582,10331959.6568,9686419.41
000538.SZ,20230217,56.8,0.497,1.2884,36.4036,38.3982,2.6981,2.8059,2.9221,10206179.2783,9568497.7824
000538.SZ,20230216,56.63,0.6017,1.5596,36.2946,38.2833,2.69,2.7975,2.9134,10175632.615,9539859.6728
000538.SZ,20230215,56.55,0.3164,0.8201,36.2433,38.2292,2.6862,2.7936,2.9093,10161257.7146,9526382.9154
000538.SZ,20230214,56.48,0.3263,0.8458,36.1985,38.1819,2.6829,2.7901,2.9057,10148679.6768,9514590.7526
000538.SZ,20230213,56.45,0.3808,0.9871,36.1792,38.1616,2.6815,2.7886,2.9041,10143289.0891,9509536.9686
000538.SZ,20230210,56.08,0.1939,0.5026,35.9421,37.9115,2.6639,2.7703,2.8851,10076805.1748,9447206.9654
000538.SZ,20230209,56.27,0.1936,0.5017,36.0639,38.0399,2.6729,2.7797,2.8949,10110945.5632,9479214.2644
000538.SZ,20230208,56.04,0.2119,0.5492,35.9165,37.8844,2.662,2.7684,2.883,10069617.7246,9440468.5867
000538.SZ,20230207,56.09,0.2807,0.7276,35.9485,37.9182,2.6644,2.7708,2.8856,10078602.0373,9448891.5601
000538.SZ,20230206,55.91,0.3194,0.8278,35.8331,37.7965,2.6558,2.7619,2.8764,10046258.5115,9418568.8559
000538.SZ,20230203,56.7,0.4094,1.0612,36.3395,38.3306,2.6934,2.801,2.917,10188210.6528,9551651.8356
000538.SZ,20230202,57.48,0.3826,0.9917,36.8394,38.8579,2.7304,2.8395,2.9571,10328365.9317,9683050.2206
000538.SZ,20230201,57.6,0.3829,0.9925,36.9163,38.939,2.7361,2.8454,2.9633,10349928.2822,9703265.3568
000538.SZ,20230131,57.46,0.3103,0.8042,36.8266,38.8444,2.7295,2.8385,2.9561,10324772.2066,9679681.0313
000538.SZ,20230130,58.14,0.504,1.3064,37.2624,39.3041,2.7618,2.8721,2.9911,10446958.8599,9794233.4695
000538.SZ,20230120,58.25,0.3818,0.9896,37.3329,39.3784,2.767,2.8775,2.9967,10466724.3479,9812764.011
000538.SZ,20230119,57.88,0.317,0.8217,37.0957,39.1283,2.7494,2.8593,2.9777,10400240.4336,9750434.0078
000538.SZ,20230118,57.31,0.3145,0.8152,36.7304,38.743,2.7223,2.8311,2.9484,10297819.2683,9654412.1111
000538.SZ,20230117,57.06,0.3269,0.8472,36.5702,38.574,2.7105,2.8187,2.9355,10252897.7046,9612297.2441
000538.SZ,20230116,57.27,0.6659,1.7261,36.7048,38.7159,2.7204,2.8291,2.9463,10290631.8181,9647673.7324
000538.SZ,20230113,56.76,0.5466,1.4167,36.3779,38.3712,2.6962,2.8039,2.9201,10198991.8281,9561759.4037
000538.SZ,20230112,55.17,0.2871,0.7442,35.3589,37.2963,2.6207,2.7254,2.8383,9913290.6828,9293908.8496
000538.SZ,20230111,54.86,0.3262,0.8455,35.1602,37.0867,2.606,2.7101,2.8223,9857587.9438,9241686.4145
000538.SZ,20230110,55.02,0.2837,0.7354,35.2627,37.1949,2.6136,2.718,2.8306,9886337.7446,9268639.9294
000538.SZ,20230109,55.14,0.187,0.4846,35.3396,37.276,2.6193,2.7239,2.8367,9907900.0952,9288855.0655
000538.SZ,20230106,55.04,0.236,0.6117,35.2756,37.2084,2.6145,2.719,2.8316,9889931.4697,9272009.1187
000538.SZ,20230105,55.28,0.3642,0.9439,35.4294,37.3706,2.6259,2.7308,2.8439,9933056.1709,9312439.391
000538.SZ,20230104,54.86,0.2414,0.6258,35.1602,37.0867,2.606,2.7101,2.8223,9857587.9438,9241686.4145
000538.SZ,20230103,54.62,0.2238,0.5802,35.0064,36.9245,2.5946,2.6982,2.81,9814463.2426,9201256.1422
000538.SZ,20221230,54.36,0.151,0.3914,34.8397,36.7487,2.5822,2.6854,2.7966,9767744.8164,9157456.6805
000538.SZ,20221229,54.25,0.173,0.4485,34.7692,36.6743,2.577,2.6799,2.791,9747979.3283,9138926.139
000538.SZ,20221228,54.24,0.2032,0.5268,34.7628,36.6676,2.5765,2.6794,2.7904,9746182.4658,9137241.5443
000538.SZ,20221227,53.97,0.7434,0.9708,34.5898,36.485,2.5637,2.6661,2.7765,9697667.177,4580482.0358
000538.SZ,20221226,55.0,0.5815,0.7593,35.2499,37.1814,2.6126,2.717,2.8295,9882744.0195,4668977.0545
000538.SZ,20221223,55.3,0.2813,0.3673,35.4422,37.3842,2.6269,2.7318,2.845,9936649.896,4694444.2021
000538.SZ,20221222,55.32,0.5251,0.6856,35.455,37.3977,2.6278,2.7328,2.846,9940243.6211,4696142.0119
000538.SZ,20221221,55.77,0.325,0.4244,35.7434,37.7019,2.6492,2.755,2.8691,10021102.4358,4734342.7333
000538.SZ,20221220,55.8,0.5137,0.6708,35.7626,37.7222,2.6506,2.7565,2.8707,10026493.0234,4736889.448
000538.SZ,20221219,56.56,0.9039,1.1803,36.2497,38.236,2.6867,2.794,2.9098,10163054.5771,4801406.2219
000538.SZ,20221216,59.03,0.6216,0.8117,37.8328,39.9057,2.804,2.9161,3.0369,10606879.6267,5011085.7369
000538.SZ,20221215,58.22,0.5281,0.6895,37.3136,39.3582,2.7656,2.8761,2.9952,10461333.7603,4942324.4384
000538.SZ,20221214,58.94,0.7458,0.9739,37.7751,39.8449,2.7998,2.9116,3.0322,10590707.8638,5003445.5926
000538.SZ,20221213,59.0,0.8583,1.1208,37.8136,39.8855,2.8026,2.9146,3.0353,10601489.0391,5008539.0221
000538.SZ,20221212,59.82,1.2444,1.6249,38.3391,40.4398,2.8416,2.9551,3.0775,10748831.7681,5078149.2255
000538.SZ,20221209,58.99,0.7332,0.9574,37.8071,39.8787,2.8021,2.9141,3.0348,10599692.1766,5007690.1172
