spec_id,benchmark_method,event_universe,signal_scale,analyst_min,filter_profile,car_window,signal_col,event_count,usable_signal_count,strict_match_share,median_broker_count,median_benchmark_lag_days,event_type_composition,coef,t_stat,p_value,regression_nobs,r2
spec_033,latest_per_analyst,all_event_types,raw,1,restrictive,CAR3,main_surprise_raw,580,580,1.0,3.0,72.0,express:48; formal_release:279; preannouncement:155; revision:98,-6.035201639339553e-13,-1.1143629474830756,0.2651235122566499,446,0.23009588882462828
spec_033,latest_per_analyst,all_event_types,raw,1,restrictive,CAR5,main_surprise_raw,579,579,1.0,3.0,72.0,express:47; formal_release:279; preannouncement:155; revision:98,-8.135769377742264e-13,-1.1967913028190411,0.23138790902189788,445,0.16931832457348006
spec_033,latest_per_analyst,all_event_types,raw,1,restrictive,CAR10,main_surprise_raw,576,576,1.0,3.0,72.0,express:47; formal_release:276; preannouncement:155; revision:98,5.775467316321208e-13,0.7971775887740993,0.4253478999109538,442,0.15874393738495496
spec_033,latest_per_analyst,all_event_types,raw,1,restrictive,CAR20,main_surprise_raw,558,558,1.0,3.0,72.0,express:47; formal_release:258; preannouncement:155; revision:98,-4.779139175786857e-13,-0.3312368364634982,0.7404655977478071,426,0.20083416966590617
spec_034,latest_per_analyst,all_event_types,raw,1,relaxed,CAR3,main_surprise_raw,597,597,1.0,3.0,72.0,express:49; formal_release:287; preannouncement:160; revision:101,-5.830903024811615e-13,-1.0776108301615943,0.2812074670025604,460,0.22724589416231755
spec_034,latest_per_analyst,all_event_types,raw,1,relaxed,CAR5,main_surprise_raw,596,596,1.0,3.0,72.0,express:48; formal_release:287; preannouncement:160; revision:101,-6.616368552523348e-13,-0.9723329425826549,0.33088494033979454,459,0.16637849008495997
spec_034,latest_per_analyst,all_event_types,raw,1,relaxed,CAR10,main_surprise_raw,593,593,1.0,3.0,72.0,express:48; formal_release:284; preannouncement:160; revision:101,5.817143053821954e-13,0.79441517106535,0.42695377505540855,456,0.15960327558126153
spec_034,latest_per_analyst,all_event_types,raw,1,relaxed,CAR20,main_surprise_raw,575,575,1.0,3.0,72.0,express:48; formal_release:266; preannouncement:160; revision:101,-4.231069628908538e-13,-0.29107362313315566,0.7709950126274814,440,0.20349848592742725
spec_035,latest_per_analyst,all_event_types,raw,2,restrictive,CAR3,main_surprise_raw,447,447,1.0,4.0,62.0,express:40; formal_release:217; preannouncement:117; revision:73,-5.236163984234536e-13,-0.7885105278334434,0.43039814298693224,364,0.20950812904198013
spec_035,latest_per_analyst,all_event_types,raw,2,restrictive,CAR5,main_surprise_raw,446,446,1.0,4.0,62.0,express:39; formal_release:217; preannouncement:117; revision:73,-8.452025972738752e-13,-1.1527034864581707,0.24903210993593095,363,0.1794592092282663
spec_035,latest_per_analyst,all_event_types,raw,2,restrictive,CAR10,main_surprise_raw,444,444,1.0,4.0,62.0,express:39; formal_release:215; preannouncement:117; revision:73,4.137031550465681e-13,0.5183643981815397,0.6042040494860874,361,0.17829010844687943
spec_035,latest_per_analyst,all_event_types,raw,2,restrictive,CAR20,main_surprise_raw,428,428,1.0,4.0,62.0,express:39; formal_release:199; preannouncement:117; revision:73,-5.299403701964104e-13,-0.32526854092087437,0.7449778381443997,347,0.22881957914105544
spec_036,latest_per_analyst,all_event_types,raw,2,relaxed,CAR3,main_surprise_raw,458,458,1.0,4.0,62.5,express:41; formal_release:221; preannouncement:121; revision:75,-4.957325240549035e-13,-0.7404957030881099,0.45899926749190756,372,0.20963654517532015
spec_036,latest_per_analyst,all_event_types,raw,2,relaxed,CAR5,main_surprise_raw,457,457,1.0,4.0,62.0,express:40; formal_release:221; preannouncement:121; revision:75,-7.537188140216789e-13,-1.0219815194766126,0.3067896472582039,371,0.17707059487571908
spec_036,latest_per_analyst,all_event_types,raw,2,relaxed,CAR10,main_surprise_raw,455,455,1.0,4.0,62.0,express:40; formal_release:219; preannouncement:121; revision:75,4.706340632991483e-13,0.5693394955613306,0.5691257686295281,369,0.17898593145236097
spec_036,latest_per_analyst,all_event_types,raw,2,relaxed,CAR20,main_surprise_raw,439,439,1.0,4.0,62.0,express:40; formal_release:203; preannouncement:121; revision:75,-2.974467384617922e-13,-0.179082186370943,0.8578731691094377,355,0.23345656855497054
spec_037,latest_per_analyst,all_event_types,raw,3,restrictive,CAR3,main_surprise_raw,358,358,1.0,5.0,52.0,express:29; formal_release:179; preannouncement:92; revision:58,-6.990927053140093e-13,-0.9857066770573847,0.32427707198791045,303,0.267521172235323
