model,dependent_var,variable,coef,t_stat,p_value,n_obs,r2
pooled_fe,CAR10,beta,-0.013603236593903981,-0.7944128446736562,0.42695512894317045,404,0.1725110368142606
pooled_fe,CAR10,book_to_market,-0.03620017899805179,-1.6751009374183767,0.0939144290798226,404,0.1725110368142606
pooled_fe,CAR10,turnover20,0.0038273756708456846,1.2436073435498503,0.21364411212706125,404,0.1725110368142606
pooled_fe,CAR10,pe_ttm,1.4199161140320567e-05,0.9094145777775842,0.36313132969739914,404,0.1725110368142606
pooled_fe,CAR10,ps_ttm,0.0009375400503356721,1.0409875607220491,0.2978813214762568,404,0.1725110368142606
event_type_express,CAR10,main_surprise_std,-0.012169759200359731,-0.13329653551934775,0.893958867406892,41,0.9593910143067989
event_type_express,CAR10,log_total_mv,-0.10978890028028976,-0.33748317656313764,0.735752692211145,41,0.9593910143067989
event_type_express,CAR10,beta,0.1721836972311209,0.3399063017552495,0.7339270907941038,41,0.9593910143067989
event_type_express,CAR10,book_to_market,0.015942909161879237,0.06443006313755438,0.9486277928280294,41,0.9593910143067989
event_type_express,CAR10,turnover20,0.017556305820080394,0.2313824102050262,0.8170177290525351,41,0.9593910143067989
event_type_express,CAR10,pe_ttm,-3.7096358023364724e-05,-0.01909047975247228,0.98476892610452,41,0.9593910143067989
event_type_express,CAR10,ps_ttm,-0.009357541627591707,-0.18068682579207523,0.8566134000759711,41,0.9593910143067989
event_type_formal_release,CAR10,main_surprise_std,-0.009326422789685138,-1.0361305372349803,0.300141247487993,213,0.2883208451058189
event_type_formal_release,CAR10,log_total_mv,-0.022147748143520548,-2.7834873846606354,0.005377795378209119,213,0.2883208451058189
event_type_formal_release,CAR10,beta,-0.013336795212760547,-0.4527945196357536,0.6506967102783805,213,0.2883208451058189
event_type_formal_release,CAR10,book_to_market,-0.055502146030021966,-1.9142393758820173,0.055589576656071005,213,0.2883208451058189
event_type_formal_release,CAR10,turnover20,-0.0028774306126831553,-0.6194682769990444,0.5356079139981623,213,0.2883208451058189
event_type_formal_release,CAR10,pe_ttm,-3.0419355084503353e-06,-0.1658430138814282,0.8682804946280953,213,0.2883208451058189
event_type_formal_release,CAR10,ps_ttm,0.0037966333975385535,1.8410693316062874,0.06561139924416631,213,0.2883208451058189
event_type_preannouncement,CAR10,main_surprise_std,-0.0010664985145567053,-0.04439563040034599,0.9645890446519458,93,0.44034164165770184
event_type_preannouncement,CAR10,log_total_mv,0.022077909518764274,1.2760201967748026,0.20194837968105972,93,0.44034164165770184
event_type_preannouncement,CAR10,beta,-0.01768781856626222,-0.35834381885562133,0.7200860296801865,93,0.44034164165770184
event_type_preannouncement,CAR10,book_to_market,0.02636254704963656,0.4351160753078355,0.6634781756253338,93,0.44034164165770184
event_type_preannouncement,CAR10,turnover20,0.02363377879186856,1.6806156842704683,0.09283758734013835,93,0.44034164165770184
event_type_preannouncement,CAR10,pe_ttm,8.84233589403305e-05,0.8658966263541261,0.38654685335489103,93,0.44034164165770184
event_type_preannouncement,CAR10,ps_ttm,0.0008031694050697568,0.47170768970657495,0.6371354476238739,93,0.44034164165770184
event_type_revision,CAR10,main_surprise_std,0.029238524544311504,0.9033215677251881,0.3663552530510623,57,0.7430506062050664
event_type_revision,CAR10,log_total_mv,-0.0966870764007071,-1.1681255520711304,0.24275612478205844,57,0.7430506062050664
event_type_revision,CAR10,beta,-0.026336219778446867,-0.26135737302948725,0.7938169262474165,57,0.7430506062050664
event_type_revision,CAR10,book_to_market,-0.09539305393543165,-0.38900247975059643,0.697274312007166,57,0.7430506062050664
event_type_revision,CAR10,turnover20,0.031763031655317256,1.4541274139812874,0.14591098442330136,57,0.7430506062050664
event_type_revision,CAR10,pe_ttm,-6.277486785576266e-05,-0.3030523882039283,0.761849937597214,57,0.7430506062050664
event_type_revision,CAR10,ps_ttm,0.0182460007301219,0.9349053232582846,0.34983709349590153,57,0.7430506062050664
pooled_fe,CAR20,main_surprise_std,-0.007289458112357419,-0.9130615673524044,0.36121016196686273,404,0.20358750278370885
pooled_fe,CAR20,log_total_mv,-0.01615136087682191,-2.070665684677656,0.03839004916818411,404,0.20358750278370885
pooled_fe,CAR20,beta,-0.020431425201639326,-0.8861377059964342,0.37554332672685764,404,0.20358750278370885
pooled_fe,CAR20,book_to_market,-0.02000766992832104,-0.8727929572815195,0.3827759390232197,404,0.20358750278370885
pooled_fe,CAR20,turnover20,-0.00227795473028507,-0.5752430120639633,0.5651269570095365,404,0.20358750278370885
pooled_fe,CAR20,pe_ttm,1.0789886598461813e-05,0.25831051721985443,0.7961672700676868,404,0.20358750278370885
pooled_fe,CAR20,ps_ttm,0.0016916662658971078,1.8312026496230687,0.06707030139793498,404,0.20358750278370885
event_type_express,CAR20,main_surprise_std,-0.0064167531271188405,-0.030266107574022167,0.9758548264204945,41,0.9134134420850102
event_type_express,CAR20,log_total_mv,0.1333452831972669,0.22206988524913363,0.8242594806475064,41,0.9134134420850102
event_type_express,CAR20,beta,0.33198435066041043,0.3691575057443047,0.7120103278132364,41,0.9134134420850102
