ts_code,event_type,report_period,announcement_date,event_trading_date,earnings_surprise,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,positive_revision_dummy,CAR20,CAR60,size,beta,book_to_market,turnover20,log_size,high_ES_dummy,strong_ES_dummy
000066.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,3.126550000000009,68.35655,65.22999999999999,cross_sectional_90d_median,0,0.166559948682927,-0.018841135137432942,5032246.5773,0.8591499921673996,0.2204342554833021,,15.431377078010033,1,0
000070.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,67.80520000000001,133.0352,65.22999999999999,cross_sectional_90d_median,0,0.012892584540991955,-0.12280081358438334,1870016.0665,0.18667629808377884,0.08062825536581039,,14.44145758050509,1,0
000089.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,91.965,157.195,65.22999999999999,cross_sectional_90d_median,0,-0.06205810869201721,0.06489931479974616,1402726.3442,0.15411847956993294,0.8250144377526607,,14.15392828959649,1,1
000100.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,389.27,454.5,65.22999999999999,cross_sectional_90d_median,0,-0.003901904279378427,-0.17387423845201808,9006773.4396,1.014098545409728,0.682081713389264,,16.01348745663582,1,1
000402.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,74.77000000000001,140.0,65.22999999999999,cross_sectional_90d_median,0,-0.0635923323257457,-0.03463617889209774,848856.0936,0.09360369961298613,2.7739251040221915,,13.651644949866485,1,0
000403.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,119.77000000000001,185.0,65.22999999999999,cross_sectional_90d_median,0,-0.1401601494186359,-0.1765334765192681,1241218.9861,0.6526313469855949,0.6466214031684449,,14.03160450800721,1,1
000407.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,78.305,143.535,65.22999999999999,cross_sectional_90d_median,0,0.020384588876227617,0.16460071335212356,407479.1957,0.13333845219367202,0.749512816669165,,12.917745156862848,1,0
000408.SZ,guidance_upward_revision,2021-06-30,2021-07-15,2021-07-16,49.34499999999997,389.01,339.665,prior_guidance_same_period,1,0.09453873189262098,0.261240166605658,13808565.2015,0.6208596337318271,0.11763321962122104,,16.440799624368836,1,0
000420.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,85.12500000000003,150.35500000000002,65.22999999999999,cross_sectional_90d_median,0,0.1729330651837968,0.40156600062209963,1231893.0398,0.18380879653962964,0.35905353488205094,,14.024062600962516,1,0
000423.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,209.27,274.5,65.22999999999999,cross_sectional_90d_median,0,-0.07125763316889601,0.23450230981435238,3582443.0719,0.9498660038630131,0.2885253469517297,,15.091555547951089,1,1
000426.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,154.43,219.66,65.22999999999999,cross_sectional_90d_median,0,0.24095115688987045,0.10270500620636787,7945969.932,0.4495190065968882,0.11525783176966875,,15.888175431307236,1,1
000509.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,186.20430000000002,251.4343,65.22999999999999,cross_sectional_90d_median,0,-0.07704772350064916,0.06408370912494694,400276.7634,0.1378055071251228,0.030833459236625217,,12.89991149533179,1,1
000510.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,216.23000000000005,281.46000000000004,65.22999999999999,cross_sectional_90d_median,0,0.21505180359832662,0.3268151028441956,982543.5373,0.0361409904386132,0.12562656248037085,,13.797899934517309,1,1
000519.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,8.600000000000009,73.83,65.22999999999999,cross_sectional_90d_median,0,0.10562971017349478,0.9229056395604847,2478754.988,0.5286430935814035,0.4120992334954257,,14.723266971118708,1,0
000520.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,553.1949999999999,618.425,65.22999999999999,cross_sectional_90d_median,0,0.021744050496539154,0.22759920792555932,426087.1346,0.02748527092639356,0.09452421237700037,,12.96239914565034,1,1
000521.SZ,guidance_initial,2021-06-30,2021-07-15,2021-07-16,53.09195000000001,118.32195,65.22999999999999,cross_sectional_90d_median,0,0.05328574729359768,0.06809064804244175,589116.365,0.3562397176098152,1.0326311441553078,,13.286379006787826,1,0
000060.SZ,guidance_initial,2021-09-30,2021-10-09,2021-10-11,61.415,61.415,0.0,fallback_zero,0,-0.08855486159983428,-0.050079863490519475,2908967.96,0.10576078112144263,0.6521455588887439,,14.883308923322492,1,1
000408.SZ,guidance_initial,2021-09-30,2021-10-09,2021-10-11,1729.37,1729.37,0.0,fallback_zero,0,0.029056572748557656,0.4255856278959772,13808565.2015,0.9860312873699739,0.11763321962122104,,16.440799624368836,1,1
000403.SZ,guidance_initial,2021-09-30,2021-10-11,2021-10-12,133.585,195.0,61.415,cross_sectional_90d_median,0,0.1842936864787887,0.07292936264990779,1241218.9861,0.8104311508368287,0.6466214031684449,,14.03160450800721,1,1
000520.SZ,guidance_initial,2021-09-30,2021-10-11,2021-10-12,391.425,452.84000000000003,61.415,cross_sectional_90d_median,0,-0.13049573844903242,-0.05782758246754862,426087.1346,0.2812218210425231,0.09452421237700037,,12.96239914565034,1,1
000011.SZ,guidance_initial,2021-09-30,2021-10-13,2021-10-14,237.2425,302.26,65.0175,cross_sectional_90d_median,0,-0.0785994253133301,0.021287069365561517,500026.4582,0.42478838633503924,0.6789327177676692,,13.122416292404305,1,1
000066.SZ,guidance_initial,2021-09-30,2021-10-13,2021-10-14,96.45285,161.47035,65.0175,cross_sectional_90d_median,0,0.04923679071216168,0.119610177613754,5032246.5773,0.7559965146179982,0.2204342554833021,,15.431377078010033,1,1
000422.SZ,guidance_initial,2021-09-30,2021-10-13,2021-10-14,57465.274,57530.2915,65.0175,cross_sectional_90d_median,0,0.38861415902447394,0.09568071826755842,1731434.8615,0.10981762101715853,0.34051826880512137,,14.364461022423068,1,1
000025.SZ,guidance_initial,2021-09-30,2021-10-14,2021-10-15,1.2600000000000193,69.02000000000001,67.75999999999999,cross_sectional_90d_median,0,0.022218479255560943,0.06366318789241679,702194.0033,0.37982362660900826,0.2573870071038814,,13.461965002805325,1,0
000039.SZ,guidance_initial,2021-09-30,2021-10-14,2021-10-15,1093.74,1161.5,67.75999999999999,cross_sectional_90d_median,0,-0.0666394937636207,0.016872057951544513,6524949.6659,0.17451573566307613,0.7100255609201931,,15.691143797104964,1,1
000426.SZ,guidance_initial,2021-09-30,2021-10-14,2021-10-15,255.375,323.135,67.75999999999999,cross_sectional_90d_median,0,-0.06494976869001148,-0.07738896143558655,7945969.932,0.299233761480198,0.11525783176966875,,15.888175431307236,1,1
000007.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,32.0128,94.2878,62.275000000000006,cross_sectional_90d_median,0,0.2715267499362038,0.4087946660957169,474287.3722,0.636168100773592,0.03851516341983839,,13.069568687433659,1,0
000012.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,45.224999999999994,107.5,62.275000000000006,cross_sectional_90d_median,0,-0.04434556356536065,-0.01383356016809355,1381280.8402,0.6980445270897091,0.9559315553006404,,14.138521771745546,1,0
000020.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,2.634999999999991,64.91,62.275000000000006,cross_sectional_90d_median,0,-0.0005541879439759515,0.0764296732979869,450226.3509,0.31889917451424876,0.09438058025180739,,13.017505737283402,1,0
000042.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,185.26,247.535,62.275000000000006,cross_sectional_90d_median,0,-0.03029676510830876,0.19055591174808953,592364.5448,0.2055716058892865,0.5564830272676684,,13.29187750948341,1,1
000045.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,162.285,224.56,62.275000000000006,cross_sectional_90d_median,0,0.09481887531821356,0.02962366050433252,615930.5684,0.1733088927724318,0.4837695321948624,,13.330889522526634,1,1
000048.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,60.78,123.055,62.275000000000006,cross_sectional_90d_median,0,0.027429935879361537,0.05317334637039718,816104.3828,0.6292589069727436,0.5,,13.612297545863205,1,1
000059.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,352.20925,414.48425,62.275000000000006,cross_sectional_90d_median,0,-0.06559884322695905,0.19942045053325555,844505.6595,-0.16197809264274637,1.1936022917164002,,13.646506716806115,1,1
000063.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,51.584999999999994,113.86,62.275000000000006,cross_sectional_90d_median,0,-0.06087553062990421,0.0341876564945689,16933713.5,0.7739371698693862,0.44541445815331165,,16.644817074415986,1,0
000089.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,57.29499999999999,119.57,62.275000000000006,cross_sectional_90d_median,0,-0.04992761724978398,-0.027265192312106532,1402726.3442,0.3649711932438019,0.8250144377526607,,14.15392828959649,1,1
000100.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,287.225,349.5,62.275000000000006,cross_sectional_90d_median,0,0.00749459786062204,0.023437129810626723,9006773.4396,0.4419997033711722,0.682081713389264,,16.01348745663582,1,1
000301.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,452.53499999999997,514.81,62.275000000000006,cross_sectional_90d_median,0,-0.09298737925832286,-0.2098824865851874,7629360.2636,0.8108609150210774,0.4380969070358363,,15.84751455486997,1,1
000415.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,25.03,87.305,62.275000000000006,cross_sectional_90d_median,0,0.11274239457833793,0.1266626571923678,2838695.2684,0.14350415517973186,1.0165700925078784,,14.858855092039907,1,0
000420.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,38.44499999999999,100.72,62.275000000000006,cross_sectional_90d_median,0,0.2374010177383165,0.2614798674446722,1231893.0398,0.5321352327118893,0.35905353488205094,,14.024062600962516,1,0
000423.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,1461.725,1524.0,62.275000000000006,cross_sectional_90d_median,0,0.031328773435655356,0.16648225863595503,3582443.0719,0.8014966827539107,0.2885253469517297,,15.091555547951089,1,1
000425.SZ,guidance_initial,2021-09-30,2021-10-15,2021-10-18,26.82499999999999,89.1,62.275000000000006,cross_sectional_90d_median,0,-0.009866281100599133,0.02617143612603402,11983588.067,0.8046470637253679,0.4995004995004996,,16.29904861056691,1,0
