ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
688499.SH,利元亨,20250830,利元亨：营收利润逐季改善，固态电池整线设备已开启交付——锂电设备系列报告,点评,首份报告,中信建投,"许光坦,乔磊",2027Q4,481747.0,,,20734.0,1.23,46.5,,7.76,,买入,,
688499.SH,利元亨,20250830,利元亨：营收利润逐季改善，固态电池整线设备已开启交付——锂电设备系列报告,点评,首份报告,中信建投,"许光坦,乔磊",2026Q4,392036.0,,,13976.0,0.83,68.98,,5.65,,买入,,
688499.SH,利元亨,20250830,利元亨：营收利润逐季改善，固态电池整线设备已开启交付——锂电设备系列报告,点评,首份报告,中信建投,"许光坦,乔磊",2025Q4,321389.0,,,7397.0,0.44,130.34,,3.16,,买入,,
688351.SH,微电生理,20250830,微电生理：压力导管认可度持续提升，期待PFA未来放量,点评,一般报告,招商证券,"梁广楷,许菲菲,郭子娴",2027Q4,80900.0,,13300.0,13300.0,0.28,84.3,,6.7,69.5,强烈推荐,,
688351.SH,微电生理,20250830,微电生理：压力导管认可度持续提升，期待PFA未来放量,点评,一般报告,招商证券,"梁广楷,许菲菲,郭子娴",2026Q4,61700.0,,10300.0,10300.0,0.22,109.0,,5.5,85.1,强烈推荐,,
688351.SH,微电生理,20250830,微电生理：压力导管认可度持续提升，期待PFA未来放量,点评,一般报告,招商证券,"梁广楷,许菲菲,郭子娴",2025Q4,47200.0,,7900.0,7900.0,0.17,142.7,,4.4,103.7,强烈推荐,,
600642.SH,申能股份,20250830,申能股份：煤价下行抵御电价压力，1H25扣非经损益后归母净利润同比增长2%,点评,一般报告,华福证券,"严家源,闫燕燕",2025Q4,2934300.0,,574800.0,410300.0,0.84,9.6,,8.9,76.0,持有,,
600642.SH,申能股份,20250830,申能股份：煤价下行抵御电价压力，1H25扣非经损益后归母净利润同比增长2%,点评,一般报告,华福证券,"严家源,闫燕燕",2026Q4,2983900.0,,589000.0,420400.0,0.86,9.4,,8.6,69.0,持有,,
600642.SH,申能股份,20250830,申能股份：煤价下行抵御电价压力，1H25扣非经损益后归母净利润同比增长2%,点评,一般报告,华福证券,"严家源,闫燕燕",2027Q4,3073700.0,,625900.0,446800.0,0.91,8.9,,8.7,63.0,持有,,
688286.SH,敏芯股份,20250830,敏芯股份2025年半年报点评：盈利能力持续增强，压力、惯性产品线全面高增,点评,一般报告,国海证券,"姚丹丹,高力洋",2025Q4,72000.0,,6500.0,6500.0,1.16,81.57,,6.0,40.34,买入,,
688286.SH,敏芯股份,20250830,敏芯股份2025年半年报点评：盈利能力持续增强，压力、惯性产品线全面高增,点评,一般报告,国海证券,"姚丹丹,高力洋",2026Q4,97700.0,,10900.0,10700.0,1.92,49.2,,9.0,28.47,买入,,
688286.SH,敏芯股份,20250830,敏芯股份2025年半年报点评：盈利能力持续增强，压力、惯性产品线全面高增,点评,一般报告,国海证券,"姚丹丹,高力洋",2027Q4,127400.0,,17400.0,17200.0,3.07,30.74,,12.0,19.72,买入,,
603565.SH,中谷物流,20250830,中谷物流公司点评：业绩大幅提升，半年度分红维持高比例,点评,一般报告,国金证券,"郑树明,霍泽嘉",2025Q4,1262500.0,208600.0,253700.0,190200.0,0.906,10.54,,16.11,,买入,,
300969.SZ,恒帅股份,20250830,恒帅股份25H1业绩点评：Iiiiinnnnn,点评,一般报告,甬兴证券,"王琎,狄德华",2025Q4,110400.0,,26700.0,23200.0,2.07,40.33,,15.6,28.28,买入,,
300969.SZ,恒帅股份,20250830,恒帅股份25H1业绩点评：Iiiiinnnnn,点评,一般报告,甬兴证券,"王琎,狄德华",2026Q4,127200.0,,31400.0,27300.0,2.44,34.22,,15.9,23.29,买入,,
300969.SZ,恒帅股份,20250830,恒帅股份25H1业绩点评：Iiiiinnnnn,点评,一般报告,甬兴证券,"王琎,狄德华",2027Q4,147200.0,,37000.0,32200.0,2.87,29.07,,16.1,19.23,买入,,
603565.SH,中谷物流,20250830,中谷物流公司点评：业绩大幅提升，半年度分红维持高比例,点评,一般报告,国金证券,"郑树明,霍泽嘉",2026Q4,1337600.0,222100.0,260300.0,195200.0,0.93,10.27,,15.5,,买入,,
603565.SH,中谷物流,20250830,中谷物流公司点评：业绩大幅提升，半年度分红维持高比例,点评,一般报告,国金证券,"郑树明,霍泽嘉",2027Q4,1471300.0,231000.0,273400.0,205100.0,0.976,9.78,,15.29,,买入,,
301008.SZ,宏昌科技,20250830,宏昌科技25H1业绩承压，加速布局人形机器人赛道,点评,首次关注,东北证券,韩金呈,2025Q4,115200.0,,4600.0,4200.0,0.32,99.86,0.2,2.81,,买入,,40.92
301008.SZ,宏昌科技,20250830,宏昌科技25H1业绩承压，加速布局人形机器人赛道,点评,首次关注,东北证券,韩金呈,2026Q4,138300.0,,7900.0,7100.0,0.55,58.48,0.34,4.55,,买入,,40.92
301008.SZ,宏昌科技,20250830,宏昌科技25H1业绩承压，加速布局人形机器人赛道,点评,首次关注,东北证券,韩金呈,2027Q4,172800.0,,11800.0,10700.0,0.82,39.11,0.51,6.44,,买入,,40.92
301459.SZ,丰茂股份,20250830,丰茂股份25H1业绩点评：传统主业稳健增长，产能建设持续推进,点评,一般报告,甬兴证券,"王琎,狄德华",2027Q4,169100.0,,32700.0,28800.0,2.76,16.24,,16.6,10.41,买入,,
301459.SZ,丰茂股份,20250830,丰茂股份25H1业绩点评：传统主业稳健增长，产能建设持续推进,点评,一般报告,甬兴证券,"王琎,狄德华",2026Q4,137500.0,,26400.0,23200.0,2.23,20.11,,15.3,13.25,买入,,
301459.SZ,丰茂股份,20250830,丰茂股份25H1业绩点评：传统主业稳健增长，产能建设持续推进,点评,一般报告,甬兴证券,"王琎,狄德华",2025Q4,113500.0,,21700.0,19100.0,1.83,24.52,,14.2,16.46,买入,,
002156.SZ,通富微电,20250830,通富微电：AMD强劲增长护航，先进封装技术赋能长期发展,点评,一般报告,华金证券,"熊军,宋鹏",2027Q4,3386600.0,,217700.0,164400.0,1.08,30.5,,9.1,9.0,买入,,
002156.SZ,通富微电,20250830,通富微电：AMD强劲增长护航，先进封装技术赋能长期发展,点评,一般报告,华金证券,"熊军,宋鹏",2026Q4,3047100.0,,177800.0,134100.0,0.88,37.5,,8.1,11.0,买入,,
