ts_code,trade_date,close,mkt_ret
399300.SZ,2020-12-30,5113.7105,0.0140343638302298
399300.SZ,2020-12-31,5211.2885,0.0190816433585747
399300.SZ,2021-01-04,5267.7181,0.0108283392869152
399300.SZ,2021-01-05,5368.5049,0.0191329144966962
399300.SZ,2021-01-06,5417.6677,0.0091576334409231
399300.SZ,2021-01-07,5513.6568,0.0177177902587122
399300.SZ,2021-01-08,5495.4306,-0.0033056464450236
399300.SZ,2021-01-11,5441.1583,-0.0098758958033242
399300.SZ,2021-01-12,5596.3525,0.0285222725462701
399300.SZ,2021-01-13,5577.9711,-0.0032845322020012
399300.SZ,2021-01-14,5470.4563,-0.0192748936974592
399300.SZ,2021-01-15,5458.0812,-0.0022621696109701
399300.SZ,2021-01-18,5518.5205,0.0110733603596808
399300.SZ,2021-01-19,5437.5234,-0.0146773215755925
399300.SZ,2021-01-20,5476.4336,0.0071558680556667
399300.SZ,2021-01-21,5564.9693,0.0161666709516936
399300.SZ,2021-01-22,5569.776,0.0008637424109418
399300.SZ,2021-01-25,5625.9232,0.0100806926526308
399300.SZ,2021-01-26,5512.9678,-0.0200776647644247
399300.SZ,2021-01-27,5528.0034,0.0027273150407298
399300.SZ,2021-01-28,5377.1427,-0.0272902690327576
399300.SZ,2021-01-29,5351.9646,-0.0046824310613887
399300.SZ,2021-02-01,5417.6484,0.0122728390243835
399300.SZ,2021-02-02,5501.0915,0.0154020884780932
399300.SZ,2021-02-03,5485.2008,-0.0028886449171042
399300.SZ,2021-02-04,5473.9475,-0.0020515748484539
399300.SZ,2021-02-05,5483.414,0.0017293735462386
399300.SZ,2021-02-08,5564.5618,0.0147987731730634
399300.SZ,2021-02-09,5686.2502,0.0218684605138179
399300.SZ,2021-02-10,5807.7191,0.0213618633946146
399300.SZ,2021-02-18,5768.3814,-0.006773347560835
399300.SZ,2021-02-19,5778.842,0.0018134376482108
399300.SZ,2021-02-22,5597.3327,-0.0314092858050106
399300.SZ,2021-02-23,5579.6681,-0.003155896021689
399300.SZ,2021-02-24,5437.5683,-0.0254674287884614
399300.SZ,2021-02-25,5469.5584,0.0058831628836735
399300.SZ,2021-02-26,5336.7609,-0.0242793824086419
399300.SZ,2021-03-01,5418.7837,0.0153693975684763
399300.SZ,2021-03-02,5349.6301,-0.0127618306669077
399300.SZ,2021-03-03,5452.2125,0.019175606178827
399300.SZ,2021-03-04,5280.7058,-0.0314563491426646
399300.SZ,2021-03-05,5262.7958,-0.0033915920860426
399300.SZ,2021-03-08,5080.0246,-0.034728917280051
399300.SZ,2021-03-09,4970.9994,-0.0214615496153306
399300.SZ,2021-03-10,5003.6121,0.0065605922221596
399300.SZ,2021-03-11,5128.2156,0.0249027097843976
399300.SZ,2021-03-12,5146.3786,0.0035417777676896
399300.SZ,2021-03-15,5035.5441,-0.0215364062022176
399300.SZ,2021-03-16,5079.3624,0.0087018004668055
399300.SZ,2021-03-17,5100.8581,0.0042319681698632
399300.SZ,2021-03-18,5141.7681,0.0080202191862581
399300.SZ,2021-03-19,5007.0907,-0.0261928187698703
399300.SZ,2021-03-22,5057.152,0.0099980813209554
399300.SZ,2021-03-23,5009.2459,-0.0094729405008985
399300.SZ,2021-03-24,4928.6853,-0.0160823807831034
399300.SZ,2021-03-25,4926.3469,-0.0004744470092258
399300.SZ,2021-03-26,5037.9899,0.0226624316691947
399300.SZ,2021-03-29,5046.8773,0.0017640765814159
399300.SZ,2021-03-30,5094.7291,0.0094814668864644
399300.SZ,2021-03-31,5048.3607,-0.0091012493677042
399300.SZ,2021-04-01,5110.7768,0.0123636371703788
399300.SZ,2021-04-02,5161.5569,0.0099358868499206
399300.SZ,2021-04-06,5140.3418,-0.00411021333505
399300.SZ,2021-04-07,5103.7428,-0.0071199545524385
399300.SZ,2021-04-08,5112.2086,0.0016587434617589
399300.SZ,2021-04-09,5035.3374,-0.0150367886005277
399300.SZ,2021-04-12,4947.7459,-0.0173953586506437
399300.SZ,2021-04-13,4939.6438,-0.0016375335685691
399300.SZ,2021-04-14,4980.6279,0.0082969747737682
399300.SZ,2021-04-15,4948.9741,-0.0063553834246481
399300.SZ,2021-04-16,4966.1811,0.0034768822087791
399300.SZ,2021-04-19,5087.0165,0.0243316539543836
399300.SZ,2021-04-20,5083.3654,-0.0007177291443816
399300.SZ,2021-04-21,5098.7449,0.0030254563246623
399300.SZ,2021-04-22,5089.2435,-0.0018634782061758
399300.SZ,2021-04-23,5135.4534,0.0090799153155083
399300.SZ,2021-04-26,5077.2372,-0.0113361363575026
399300.SZ,2021-04-27,5090.5195,0.0026160487439903
399300.SZ,2021-04-28,5119.2421,0.0056423710782367
399300.SZ,2021-04-29,5164.1692,0.0087761233249741
399300.SZ,2021-04-30,5123.489,-0.0078773948769921
399300.SZ,2021-05-06,5061.1244,-0.0121722911867283
399300.SZ,2021-05-07,4996.0527,-0.0128571627285034
399300.SZ,2021-05-10,4992.422,-0.0007267137114067
399300.SZ,2021-05-11,5023.0595,0.006136800935498
399300.SZ,2021-05-12,5044.5481,0.0042779903363676
399300.SZ,2021-05-13,4992.9738,-0.0102237700934996
399300.SZ,2021-05-14,5110.5901,0.0235563623426184
399300.SZ,2021-05-17,5184.9853,0.0145570665117518
