ts_code,event_type,industry,report_period,announcement_date,event_trading_date,earnings_surprise,ES_std,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,consensus_source_v2,positive_revision_dummy,size,beta,book_to_market,turnover20,CAR3,CAR5,CAR20
000710.SZ,guidance_initial,医疗保健,2020-09-30,2020-10-15,2020-10-16,-96.505,-0.10498656923348303,-50.54,45.965,cross_sectional_90d_median,fallback_zero,0,364834.1519,0.7911605036198535,0.44393145698304176,,-0.015852402708630746,-0.06522454198319014,-0.2010709366671702
000712.SZ,guidance_initial,证券,2020-09-30,2020-10-15,2020-10-16,14.034999999999997,0.5395926075812761,60.0,45.965,cross_sectional_90d_median,fallback_zero,0,945280.0,1.268921521854072,0.26832671460770635,,-0.004914479870544379,-0.0063908987855296525,-0.08319929869011826
000716.SZ,guidance_initial,食品,2020-09-30,2020-10-15,2020-10-16,-224.705,-0.3712959909931293,-178.74,45.965,cross_sectional_90d_median,fallback_zero,0,389241.0539,0.9449600109281195,0.6543646119617851,,0.0066233601938321465,-0.006690497849107777,-0.10679375359782256
000720.SZ,guidance_initial,电气设备,2020-09-30,2020-10-15,2020-10-16,-173.65295,-3.266089260277376,-127.68795,45.965,cross_sectional_90d_median,fallback_zero,0,627009.2539,0.615586122795567,0.37602466721816946,,-0.006114829069217335,-0.042487141039280286,-0.10271846181207903
000726.SZ,guidance_initial,纺织,2020-09-30,2020-10-15,2020-10-16,-129.805,-0.17416054540038023,-83.84,45.965,cross_sectional_90d_median,fallback_zero,0,569815.3481,0.5782400454062395,1.6852039096730704,,-0.01375100634402892,-0.036420641864579696,-0.15787988792474003
000727.SZ,guidance_initial,元器件,2020-09-30,2020-10-15,2020-10-16,1.3242999999999938,-0.08074265056272144,47.2893,45.965,cross_sectional_90d_median,industry_hist_median,0,1236571.7855,0.37305588547121704,0.18711174313299903,,0.012801223560335535,-0.003258574521362221,-0.135406855355435
000735.SZ,guidance_initial,农业综合,2020-09-30,2020-10-15,2020-10-16,291.68999999999994,1.4763722117922324,337.655,45.965,cross_sectional_90d_median,fallback_zero,0,799150.4231,0.6766162839376539,0.5281783129984683,,-0.004368955492044848,-0.04594341896336727,-0.10609383263129427
000750.SZ,guidance_initial,证券,2020-09-30,2020-10-15,2020-10-16,12.034999999999997,0.12048320173213327,58.0,45.965,cross_sectional_90d_median,fallback_zero,0,2484221.8716,1.2858062008757842,0.9080177971488241,,-0.00930444730784518,0.0010048750626109534,-0.08160953862172397
000755.SZ,guidance_initial,路桥,2020-09-30,2020-10-15,2020-10-16,-226.75,-0.3755440625024778,-180.785,45.965,cross_sectional_90d_median,fallback_zero,0,755664.7509,0.3764156032717996,0.7204610951008646,,0.009022964188406653,-0.006307852519148427,-0.04652201575542785
000758.SZ,guidance_initial,铅锌,2020-09-30,2020-10-15,2020-10-16,94.035,0.29082152142239065,140.0,45.965,cross_sectional_90d_median,fallback_zero,0,1365441.792,1.331472552166775,0.4364715638776133,,0.0010688286704277974,-0.010590191258693957,-0.009620932392085097
