ts_code,event_type,industry,report_period,announcement_date,event_trading_date,earnings_surprise,ES_std,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,consensus_source_v2,positive_revision_dummy,size,beta,book_to_market,turnover20,CAR20,CAR60
000068.SZ,guidance_initial,环境保护,2020-06-30,2020-07-15,2020-07-16,-1.3747500000000006,-0.016774169896327178,-8.075000000000001,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,333208.2546,0.9911160541912711,0.18112660749864154,,0.006571975922098797,-0.15395403866861535
000070.SZ,guidance_initial,通信设备,2020-06-30,2020-07-15,2020-07-16,-159.71475,-0.34569331062505104,-166.41500000000002,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,1870016.0665,1.1026962965881457,0.08062825536581039,,0.18130767124641534,-0.017206292074275376
000089.SZ,guidance_initial,机场,2020-06-30,2020-07-15,2020-07-16,-139.8932,-0.3045180725682654,-146.59345000000002,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,1402726.3442,1.0093329825284298,0.8250144377526607,,0.04498829254848312,-0.0856834849904048
000157.SZ,guidance_initial,工程机械,2020-06-30,2020-07-15,2020-07-16,61.96525,0.1148017955814887,55.265,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,7091798.8935,1.0501115024859435,0.8117542008279893,,-0.004756395726578705,0.041441836693908884
000158.SZ,guidance_initial,软件服务,2020-06-30,2020-07-15,2020-07-16,-359.25475,-0.7601970705152211,-365.955,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,2850333.6135,1.3027294309285835,0.18962019075791192,,-0.0021978641994982936,-0.3268099243005265
000301.SZ,guidance_initial,化纤,2020-06-30,2020-07-15,2020-07-16,-86.39475,-0.19338592526298184,-93.095,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,7629360.2636,0.6832007932788573,0.4380969070358363,,0.04743345383226216,0.15730559428623933
000402.SZ,guidance_initial,全国地产,2020-06-30,2020-07-15,2020-07-16,-68.29975,-0.15579724361913785,-75.0,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,848856.0936,0.9640844622414052,2.7739251040221915,,-0.015097725779470546,-0.07467117635917121
000410.SZ,guidance_initial,机床制造,2020-06-30,2020-07-15,2020-07-16,80.10645000000001,0.1524864483274021,73.40620000000001,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,1780177.062,0.5280775997614828,0.331928170743851,,0.11891661586746383,-0.012217988436669661
000420.SZ,guidance_initial,化纤,2020-06-30,2020-07-15,2020-07-16,-196.47475,-0.42205473296424445,-203.175,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,1231893.0398,0.8951711300865941,0.35905353488205094,,-0.0011717072546943898,-0.03890030406897894
000422.SZ,guidance_initial,农药化肥,2020-06-30,2020-07-15,2020-07-16,-629.2384000000001,-1.3210331837450087,-635.93865,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,1731434.8615,0.505793535203152,0.34051826880512137,,0.015631249443537235,0.01846169957957022
000423.SZ,guidance_initial,中成药,2020-06-30,2020-07-15,2020-07-16,-136.29975,-0.29705341116715617,-143.0,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,3582443.0719,0.8201527447616476,0.2885253469517297,,0.13904152612111506,0.18769302276411684
000426.SZ,guidance_initial,铅锌,2020-06-30,2020-07-15,2020-07-16,-130.34975,-0.28469349650670456,-137.05,-6.7002500000000005,cross_sectional_90d_median,fallback_zero,0,7945969.932,1.2260792408125125,0.11525783176966875,,-0.08388410546770778,-0.19443588205115628
