ts_code,event_type,report_period,announcement_date,event_trading_date,earnings_surprise,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,positive_revision_dummy,CAR20,CAR60,size,beta,book_to_market,turnover20
000573.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-119.475,-123.295,-3.8200000000000003,cross_sectional_90d_median,0,0.11831941435521771,0.018164448288031442,316587.1796,1.0088904476033282,0.5046681806712087,
000589.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,102.89500000000001,99.075,-3.8200000000000003,cross_sectional_90d_median,0,0.15320071334381574,0.23030312958170523,718236.5208,0.8049052157729998,1.231830500123183,
000610.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-231.79000000000002,-235.61,-3.8200000000000003,cross_sectional_90d_median,0,0.07684463332969277,0.08569865961646961,228461.7245,0.7678163782235661,0.06843221788818175,
000635.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-127.9145,-131.7345,-3.8200000000000003,cross_sectional_90d_median,0,0.0024487159504370075,-0.004359731551737869,322795.4372,0.9070398291126546,0.47810288774144194,
000637.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-80.61500000000001,-84.435,-3.8200000000000003,cross_sectional_90d_median,0,0.04242229826233186,-0.04345994148280412,229784.9074,0.9029629717133988,0.2414584087890861,
000672.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,8.55,4.7299999999999995,-3.8200000000000003,cross_sectional_90d_median,0,0.05245655304098046,-0.12439511726372246,1307714.4621,1.1784963475191519,0.6784260515603799,
000700.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-280.795,-284.615,-3.8200000000000003,cross_sectional_90d_median,0,-0.15274627161363857,-0.33364153935044455,1096110.3745,1.3981513273211916,0.3391209983722192,
000702.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-61.940000000000005,-65.76,-3.8200000000000003,cross_sectional_90d_median,0,0.05616072146901381,-0.03742363605107383,233971.8399,1.0753677494508764,0.15045965424371455,
000707.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-3979.67515,-3983.49515,-3.8200000000000003,cross_sectional_90d_median,0,0.010768934260108345,-0.0036751692328308504,343813.7095,0.49296421932285056,0.8281573498964803,
000712.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,103.82,100.0,-3.8200000000000003,cross_sectional_90d_median,0,0.07256069786634796,-0.08634757497839615,945280.0,1.2324457757933616,0.26832671460770635,
